movie,year,imdb,metascore,votes
Harry Potter and the Chamber of Secrets,-2002,7.4,63,529333
The Bourne Identity,-2002,7.9,68,495177
Minority Report,-2002,7.6,80,493911
Ice Age,-2002,7.5,60,427742
Gangs of New York,-2002,7.5,72,393189
28 Days Later...,-2002,7.6,73,366441
Men in Black II,-2002,6.2,49,334103
Signs,-2002,6.7,59,329562
The Ring,-2002,7.1,57,312514
Equilibrium,-2002,7.4,33,306364
The Transporter,-2002,6.8,51,279587
Insomnia,-2002,7.2,78,265694
Panic Room,-2002,6.8,65,250025
Phone Booth,-2002,7,56,245901
Red Dragon,-2002,7.2,60,243366
8 Mile,-2002,7.1,77,242505
Resident Evil,-2002,6.7,33,241656
Road to Perdition,-2002,7.7,72,240568
Chicago,-2002,7.1,81,210809
Die Another Day,-2002,6.1,56,200236
A Walk to Remember,-2002,7.4,35,195053
Blade II,-2002,6.7,52,194977
Austin Powers in Goldmember,-2002,6.2,62,191401
Adaptation.,-2002,7.7,83,172248
Ying xiong,-2002,7.9,85,171075
xXx,-2002,5.9,48,170812
About a Boy,-2002,7,75,167685
25th Hour,-2002,7.6,67,166763
Lilo & Stitch,-2002,7.2,73,161712
Punch-Drunk Love,-2002,7.3,78,142366
Bowling for Columbine,-2002,7.9,72,137986
Mr. Deeds,-2002,5.8,24,132644
The Scorpion King,-2002,5.5,45,127815
We Were Soldiers,-2002,7.2,65,126870
The Count of Monte Cristo,-2002,7.8,61,125827
Reign of Fire,-2002,6.2,39,123729
The Hours,-2002,7.5,80,121518
About Schmidt,-2002,7.1,85,120556
John Q,-2002,7.1,30,120296
My Big Fat Greek Wedding,-2002,6.5,62,117235
The Time Machine,-2002,6,42,116637
Mou gaan dou,-2002,8,75,115628
The Lord of the Rings: The Two Towers,-2002,8.7,87,1436068
Catch Me If You Can,-2002,8.1,75,787345
The Pianist,-2002,8.5,85,698818
Cidade de Deus,-2002,8.6,79,680298
Spider-Man,-2002,7.3,73,670332
Star Wars: Episode II - Attack of the Clones,-2002,6.5,54,620289
Harry Potter and the Chamber of Secrets,-2002,7.4,63,529333
The Bourne Identity,-2002,7.9,68,495177
Minority Report,-2002,7.6,80,493911
Ice Age,-2002,7.5,60,427742
Gangs of New York,-2002,7.5,72,393189
28 Days Later...,-2002,7.6,73,366441
Men in Black II,-2002,6.2,49,334103
Signs,-2002,6.7,59,329562
The Ring,-2002,7.1,57,312514
Equilibrium,-2002,7.4,33,306364
The Transporter,-2002,6.8,51,279587
Insomnia,-2002,7.2,78,265694
Panic Room,-2002,6.8,65,250025
Phone Booth,-2002,7,56,245901
Red Dragon,-2002,7.2,60,243366
8 Mile,-2002,7.1,77,242505
Resident Evil,-2002,6.7,33,241656
Road to Perdition,-2002,7.7,72,240568
Chicago,-2002,7.1,81,210809
Die Another Day,-2002,6.1,56,200236
A Walk to Remember,-2002,7.4,35,195053
Blade II,-2002,6.7,52,194977
Austin Powers in Goldmember,-2002,6.2,62,191401
Adaptation.,-2002,7.7,83,172248
Ying xiong,-2002,7.9,85,171075
xXx,-2002,5.9,48,170812
About a Boy,-2002,7,75,167685
25th Hour,-2002,7.6,67,166763
Lilo & Stitch,-2002,7.2,73,161712
Punch-Drunk Love,-2002,7.3,78,142366
Bowling for Columbine,-2002,7.9,72,137986
Mr. Deeds,-2002,5.8,24,132644
The Scorpion King,-2002,5.5,45,127815
We Were Soldiers,-2002,7.2,65,126870
The Count of Monte Cristo,-2002,7.8,61,125827
Reign of Fire,-2002,6.2,39,123729
The Hours,-2002,7.5,80,121518
About Schmidt,-2002,7.1,85,120556
John Q,-2002,7.1,30,120296
My Big Fat Greek Wedding,-2002,6.5,62,117235
The Time Machine,-2002,6,42,116637
Mou gaan dou,-2002,8,75,115628
The Lord of the Rings: The Two Towers,-2002,8.7,87,1436068
Catch Me If You Can,-2002,8.1,75,787345
The Pianist,-2002,8.5,85,698818
Cidade de Deus,-2002,8.6,79,680298
Spider-Man,-2002,7.3,73,670332
Star Wars: Episode II - Attack of the Clones,-2002,6.5,54,620289
Harry Potter and the Chamber of Secrets,-2002,7.4,63,529333
The Bourne Identity,-2002,7.9,68,495177
Minority Report,-2002,7.6,80,493911
Ice Age,-2002,7.5,60,427742
Gangs of New York,-2002,7.5,72,393189
28 Days Later...,-2002,7.6,73,366441
Men in Black II,-2002,6.2,49,334103
Signs,-2002,6.7,59,329562
The Ring,-2002,7.1,57,312514
Equilibrium,-2002,7.4,33,306364
The Transporter,-2002,6.8,51,279587
Insomnia,-2002,7.2,78,265694
Panic Room,-2002,6.8,65,250025
Phone Booth,-2002,7,56,245901
Red Dragon,-2002,7.2,60,243366
8 Mile,-2002,7.1,77,242505
Resident Evil,-2002,6.7,33,241656
Road to Perdition,-2002,7.7,72,240568
Chicago,-2002,7.1,81,210809
Die Another Day,-2002,6.1,56,200236
A Walk to Remember,-2002,7.4,35,195053
Blade II,-2002,6.7,52,194977
Austin Powers in Goldmember,-2002,6.2,62,191401
Adaptation.,-2002,7.7,83,172248
Ying xiong,-2002,7.9,85,171075
xXx,-2002,5.9,48,170812
About a Boy,-2002,7,75,167685
25th Hour,-2002,7.6,67,166763
Lilo & Stitch,-2002,7.2,73,161712
Punch-Drunk Love,-2002,7.3,78,142366
Bowling for Columbine,-2002,7.9,72,137986
Mr. Deeds,-2002,5.8,24,132644
The Scorpion King,-2002,5.5,45,127815
We Were Soldiers,-2002,7.2,65,126870
The Count of Monte Cristo,-2002,7.8,61,125827
Reign of Fire,-2002,6.2,39,123729
The Hours,-2002,7.5,80,121518
